label,data
id,"<html><body><div class=""header""><button id=""community-btn"">Community</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""forum-btn"">Forum</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""gallery-btn"">Gallery</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""history-btn"">History</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""reviews-btn"">Reviews</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""offers-btn"">Offers</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""deals-btn"">Deals</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""wishlist-btn"">Wishlist</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""testimonials-btn"">Testimonials</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""resources-btn"">Resources</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""tutorials-btn"">Tutorials</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""schedule-btn"">Schedule</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""members-btn"">Members</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""contact-info-btn"">Contact Info</button></div></body></html>"
id,"<html><body><div class=""header""><button id=""learn-more-btn"">Learn More</button></div></body></html>"
name,"<html><body><div><button name=""start"">Start</button></div></body></html>"
name,"<html><body><div><button name=""submit"">Submit</button></div></body></html>"
name,"<html><body><div><button name=""cancel"">Cancel</button></div></body></html>"
name,"<html><body><div><button name=""save"">Save</button></div></body></html>"
name,"<html><body><div><button name=""edit"">Edit</button></div></body></html>"
name,"<html><body><div><button name=""delete"">Delete</button></div></body></html>"
name,"<html><body><div><button name=""update"">Update</button></div></body></html>"
name,"<html><body><div><button name=""login"">Login</button></div></body></html>"
name,"<html><body><div><button name=""register"">Register</button></div></body></html>"
name,"<html><body><div><button name=""confirm"">Confirm</button></div></body></html>"
name,"<html><body><div><button name=""finish"">Finish</button></div></body></html>"
name,"<html><body><div><button name=""continue"">Continue</button></div></body></html>"
name,"<html><body><div><button name=""back"">Back</button></div></body></html>"
name,"<html><body><div><button name=""next"">Next</button></div></body></html>"
name,"<html><body><div><button name=""previous"">Previous</button></div></body></html>"
name,"<html><body><div><button name=""approve"">Approve</button></div></body></html>"
name,"<html><body><div><button name=""reject"">Reject</button></div></body></html>"
name,"<html><body><div><button name=""upload"">Upload</button></div></body></html>"
name,"<html><body><div><button name=""download"">Download</button></div></body></html>"
name,"<html><body><div><button name=""retry"">Retry</button></div></body></html>"
name,"<html><body><div><button name=""apply"">Apply</button></div></body></html>"
name,"<html><body><div><button name=""abort"">Abort</button></div></body></html>"
name,"<html><body><div><button name=""go"">Go</button></div></body></html>"
name,"<html><body><div><button name=""exit"">Exit</button></div></body></html>"
name,"<html><body><div><button name=""print"">Print</button></div></body></html>"
name,"<html><body><div><button name=""validate"">Validate</button></div></body></html>"
name,"<html><body><div><button name=""refresh"">Refresh</button></div></body></html>"
name,"<html><body><div><button name=""submitForm"">Submit Form</button></div></body></html>"
name,"<html><body><div><button name=""cancelOrder"">Cancel Order</button></div></body></html>"
name,"<html><body><div><button name=""checkout"">Checkout</button></div></body></html>"
name,"<html><body><div><button name=""like"">Like</button></div></body></html>"
name,"<html><body><div><button name=""dislike"">Dislike</button></div></body></html>"
name,"<html><body><div><button name=""share"">Share</button></div></body></html>"
name,"<html><body><div><button name=""bookmark"">Bookmark</button></div></body></html>"
name,"<html><body><div><button name=""follow"">Follow</button></div></body></html>"
name,"<html><body><div><button name=""unfollow"">Unfollow</button></div></body></html>"
name,"<html><body><div><button name=""subscribe"">Subscribe</button></div></body></html>"
name,"<html><body><div><button name=""unsubscribe"">Unsubscribe</button></div></body></html>"
name,"<html><body><div><button name=""yes"">Yes</button></div></body></html>"
name,"<html><body><div><button name=""no"">No</button></div></body></html>"
name,"<html><body><div><button name=""submitApplication"">Submit Application</button></div></body></html>"
name,"<html><body><div><button name=""join"">Join</button></div></body></html>"
name,"<html><body><div><button name=""leave"">Leave</button></div></body></html>"
name,"<html><body><div><button name=""invite"">Invite</button></div></body></html>"
name,"<html><body><div><button name=""confirmSubmission"">Confirm Submission</button></div></body></html>"
name,"<html><body><div><button name=""tryAgain"">Try Again</button></div></body></html>"
name,"<html><body><div><button name=""complete"">Complete</button></div></body></html>"
name,"<html><body><div><button name=""startNow"">Start Now</button></div></body></html>"
name,"<html><body><div><button name=""begin"">Begin</button></div></body></html>"
name,"<html><body><div><button name=""restart"">Restart</button></div></body></html>"
name,"<html><body><div><button name=""proceed"" class=""proceed-btn"">Proceed</button></div></body></html>"
name,"<html><body><div><button name=""start"" class=""start-btn"">Start</button></div></body></html>"
name,"<html><body><div><button name=""submit"" class=""submit-btn"">Submit</button></div></body></html>"
name,"<html><body><div><button name=""cancel"" class=""cancel-btn"">Cancel</button></div></body></html>"
name,"<html><body><div><button name=""save"" class=""save-btn"">Save</button></div></body></html>"
name,"<html><body><div><button name=""edit"" class=""edit-btn"">Edit</button></div></body></html>"
name,"<html><body><div><button name=""delete"" class=""delete-btn"">Delete</button></div></body></html>"
name,"<html><body><div><button name=""update"" class=""update-btn"">Update</button></div></body></html>"
name,"<html><body><div><button name=""login"" class=""login-btn"">Login</button></div></body></html>"
name,"<html><body><div><button name=""register"" class=""register-btn"">Register</button></div></body></html>"
name,"<html><body><div><button name=""confirm"" class=""confirm-btn"">Confirm</button></div></body></html>"
name,"<html><body><div><button name=""finish"" class=""finish-btn"">Finish</button></div></body></html>"
name,"<html><body><div><button name=""continue"" class=""continue-btn"">Continue</button></div></body></html>"
name,"<html><body><div><button name=""back"" class=""back-btn"">Back</button></div></body></html>"
name,"<html><body><div><button name=""next"" class=""next-btn"">Next</button></div></body></html>"
name,"<html><body><div><button name=""previous"" class=""previous-btn"">Previous</button></div></body></html>"
name,"<html><body><div><button name=""approve"" class=""approve-btn"">Approve</button></div></body></html>"
name,"<html><body><div><button name=""reject"" class=""reject-btn"">Reject</button></div></body></html>"
name,"<html><body><div><button name=""upload"" class=""upload-btn"">Upload</button></div></body></html>"
name,"<html><body><div><button name=""download"" class=""download-btn"">Download</button></div></body></html>"
name,"<html><body><div><button name=""retry"" class=""retry-btn"">Retry</button></div></body></html>"
name,"<html><body><div><button name=""apply"" class=""apply-btn"">Apply</button></div></body></html>"
name,"<html><body><div><button name=""abort"" class=""abort-btn"">Abort</button></div></body></html>"
name,"<html><body><div><button name=""go"" class=""go-btn"">Go</button></div></body></html>"
name,"<html><body><div><button name=""exit"" class=""exit-btn"">Exit</button></div></body></html>"
name,"<html><body><div><button name=""print"" class=""print-btn"">Print</button></div></body></html>"
name,"<html><body><div><button name=""validate"" class=""validate-btn"">Validate</button></div></body></html>"
name,"<html><body><div><button name=""refresh"" class=""refresh-btn"">Refresh</button></div></body></html>"
name,"<html><body><div><button name=""submitForm"" class=""submit-form-btn"">Submit Form</button></div></body></html>"
name,"<html><body><div><button name=""cancelOrder"" class=""cancel-order-btn"">Cancel Order</button></div></body></html>"
name,"<html><body><div><button name=""checkout"" class=""checkout-btn"">Checkout</button></div></body></html>"
name,"<html><body><div><button name=""like"" class=""like-btn"">Like</button></div></body></html>"
name,"<html><body><div><button name=""dislike"" class=""dislike-btn"">Dislike</button></div></body></html>"
name,"<html><body><div><button name=""share"" class=""share-btn"">Share</button></div></body></html>"
name,"<html><body><div><button name=""bookmark"" class=""bookmark-btn"">Bookmark</button></div></body></html>"
name,"<html><body><div><button name=""follow"" class=""follow-btn"">Follow</button></div></body></html>"
name,"<html><body><div><button name=""unfollow"" class=""unfollow-btn"">Unfollow</button></div></body></html>"
name,"<html><body><div><button name=""subscribe"" class=""subscribe-btn"">Subscribe</button></div></body></html>"
name,"<html><body><div><button name=""unsubscribe"" class=""unsubscribe-btn"">Unsubscribe</button></div></body></html>"
name,"<html><body><div><button name=""yes"" class=""yes-btn"">Yes</button></div></body></html>"
name,"<html><body><div><button name=""no"" class=""no-btn"">No</button></div></body></html>"
name,"<html><body><div><button name=""submitApplication"" class=""submit-application-btn"">Submit Application</button></div></body></html>"
name,"<html><body><div><button name=""join"" class=""join-btn"">Join</button></div></body></html>"
name,"<html><body><div><button name=""leave"" class=""leave-btn"">Leave</button></div></body></html>"
name,"<html><body><div><button name=""invite"" class=""invite-btn"">Invite</button></div></body></html>"
name,"<html><body><div><button name=""confirmSubmission"" class=""confirm-submission-btn"">Confirm Submission</button></div></body></html>"
name,"<html><body><div><button name=""tryAgain"" class=""try-again-btn"">Try Again</button></div></body></html>"
name,"<html><body><div><button name=""complete"" class=""complete-btn"">Complete</button></div></body></html>"
name,"<html><body><div><button name=""startNow"" class=""start-now-btn"">Start Now</button></div></body></html>"
name,"<html><body><div><button name=""restart"" class=""restart-btn"">Restart</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""continue-btn"" class=""btn-continue"">Continue</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""start-btn"" class=""btn-start"">Start</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""submit-btn"" class=""btn-submit"">Submit</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""cancel-btn"" class=""btn-cancel"">Cancel</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""save-btn"" class=""btn-save"">Save</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""edit-btn"" class=""btn-edit"">Edit</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""delete-btn"" class=""btn-delete"">Delete</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""update-btn"" class=""btn-update"">Update</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""login-btn"" class=""btn-login"">Login</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""register-btn"" class=""btn-register"">Register</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""confirm-btn"" class=""btn-confirm"">Confirm</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""finish-btn"" class=""btn-finish"">Finish</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""back-btn"" class=""btn-back"">Back</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""next-btn"" class=""btn-next"">Next</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""previous-btn"" class=""btn-previous"">Previous</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""approve-btn"" class=""btn-approve"">Approve</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""reject-btn"" class=""btn-reject"">Reject</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""upload-btn"" class=""btn-upload"">Upload</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""download-btn"" class=""btn-download"">Download</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""retry-btn"" class=""btn-retry"">Retry</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""apply-btn"" class=""btn-apply"">Apply</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""abort-btn"" class=""btn-abort"">Abort</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""go-btn"" class=""btn-go"">Go</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""exit-btn"" class=""btn-exit"">Exit</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""print-btn"" class=""btn-print"">Print</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""validate-btn"" class=""btn-validate"">Validate</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""refresh-btn"" class=""btn-refresh"">Refresh</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""submit-form-btn"" class=""btn-submit-form"">Submit Form</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""cancel-order-btn"" class=""btn-cancel-order"">Cancel Order</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""checkout-btn"" class=""btn-checkout"">Checkout</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""like-btn"" class=""btn-like"">Like</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""dislike-btn"" class=""btn-dislike"">Dislike</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""share-btn"" class=""btn-share"">Share</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""bookmark-btn"" class=""btn-bookmark"">Bookmark</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""follow-btn"" class=""btn-follow"">Follow</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""unfollow-btn"" class=""btn-unfollow"">Unfollow</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""subscribe-btn"" class=""btn-subscribe"">Subscribe</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""unsubscribe-btn"" class=""btn-unsubscribe"">Unsubscribe</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""yes-btn"" class=""btn-yes"">Yes</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""no-btn"" class=""btn-no"">No</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""submit-application-btn"" class=""btn-submit-application"">Submit Application</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""join-btn"" class=""btn-join"">Join</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""leave-btn"" class=""btn-leave"">Leave</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""invite-btn"" class=""btn-invite"">Invite</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""confirm-submission-btn"" class=""btn-confirm-submission"">Confirm Submission</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""try-again-btn"" class=""btn-try-again"">Try Again</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""complete-btn"" class=""btn-complete"">Complete</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""start-now-btn"" class=""btn-start-now"">Start Now</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""restart-btn"" class=""btn-restart"">Restart</button></div></body></html>"
id,"<html><body><div class=""section""><button id=""finalize-btn"" class=""btn-finalize"">Finalize</button></div></body></html>"
class,"<button class=""footer__wrapper--currency-select"">Select Currency</button>"
class,"<button type=""button"" class=""close-dialog-window"" data-dismiss=""modal"" aria-label=""Close""><span aria-hidden=""true"">×</span></button>"
class,"<button type=""button"" class=""navbar-toggle collapsed"" data-toggle=""collapse"" data-target=""#main-nav"" aria-expanded=""false""><span class=""sr-only"">Toggle Navigation</span></button>"
class,"<button class=""close-modal-btn"" aria-label=""Close Modal""><span class=""icon-close""></span></button>"
class,"<button type=""button"" class=""btn btn-primary"" data-toggle=""dropdown"" aria-expanded=""false"">Menu</button>"
class,"<button class=""footer__link--settings"">Settings</button>"
class,"<button type=""button"" class=""close-notification"" aria-label=""Dismiss Notification""><span aria-hidden=""true"">✕</span></button>"
class,"<button type=""button"" class=""navbar-item"" data-toggle=""modal"" data-target=""#loginModal"">Log In</button>"
class,"<button class=""header__control--search"">Search</button>"
class,"<button type=""button"" class=""btn btn-secondary"" onclick=""openForm()"">Open Form</button>"
class,"<button class=""sidebar__toggle"" aria-label=""Expand Sidebar""><span class=""icon-menu""></span></button>"
class,"<button type=""button"" class=""btn btn-info"" data-toggle=""tooltip"" title=""More Info"">Info</button>"
class,"<button class=""footer__action--subscribe"" aria-label=""Subscribe to newsletter"">Subscribe</button>"
class,"<button type=""button"" class=""alert-close"" data-dismiss=""alert"" aria-label=""Close Alert""><span aria-hidden=""true"">×</span></button>"
class,"<button type=""button"" class=""navbar-link"" data-toggle=""collapse"" data-target=""#userMenu"">Profile</button>"
class,"<button class=""modal__submit--apply"" type=""submit"">Apply</button>"
class,"<button type=""button"" class=""btn btn-danger"" onclick=""deleteItem()"">Delete</button>"
class,"<button class=""header__btn--logout"" onclick=""logout()"">Log Out</button>"
class,"<button type=""button"" class=""btn btn-success"" data-action=""save"">Save Changes</button>"
class,"<button class=""banner__btn--learn-more"">Learn More</button>"
class,"<button type=""button"" class=""close-window"" aria-label=""Close Window""><span aria-hidden=""true"">×</span></button>"
class,"<button type=""button"" class=""navbar-toggler"" data-toggle=""offcanvas"">Toggle</button>"
class,"<button class=""control-panel__btn--reset"" type=""reset"">Reset</button>"
class,"<button type=""button"" class=""btn btn-light"" data-toggle=""collapse"" data-target=""#filters"">Filters</button>"
class,"<button class=""footer__btn--contact-us"">Contact Us</button>"
class,"<button type=""button"" class=""document-close"" aria-label=""Close Document""><span aria-hidden=""true"">×</span></button>"
class,"<button type=""button"" class=""navbar-cta"" onclick=""startTrial()"">Start Free Trial</button>"
class,"<button class=""header__link--cart"">View Cart</button>"
class,"<button type=""button"" class=""btn btn-warning"" data-confirm=""confirmExit()"">Exit</button>"
class,"<button class=""sidebar__action--add-new"">Add New</button>"
class,"<button type=""button"" class=""popup-close"" data-dismiss=""popup"" aria-label=""Close Popup""><span aria-hidden=""true"">×</span></button>"
class,"<button type=""button"" class=""navbar-end"" onclick=""endSession()"">End Session</button>"
class,"<button class=""modal__button--cancel"" type=""button"">Cancel</button>"
class,"<button type=""button"" class=""btn btn-outline-primary"" onclick=""loadMore()"">Load More</button>"
class,"<button class=""footer__link--privacy-policy"">Privacy Policy</button>"
class,"<button type=""button"" class=""document-save"" aria-label=""Save Document"">Save</button>"
class,"<button type=""button"" class=""navbar-login"" data-toggle=""modal"" data-target=""#loginForm"">Log In</button>"
class,"<button class=""header__toggle--notifications"">Notifications</button>"
class,"<button type=""button"" class=""btn btn-dark"" onclick=""darkModeToggle()"">Dark Mode</button>"
class,"<button class=""sidebar__link--settings"">Settings</button>"
class,"<button type=""button"" class=""popup-open"" aria-label=""Open Popup"">Open</button>"
class,"<button type=""button"" class=""navbar-logout"" onclick=""logoutUser()"">Log Out</button>"
class,"<button class=""modal__confirm--delete"" type=""button"">Delete</button>"
class,"<button type=""button"" class=""btn btn-outline-secondary"" onclick=""refreshPage()"">Refresh</button>"
class,"<button class=""footer__action--terms"">Terms of Service</button>"
class,"<button type=""button"" class=""document-edit"" aria-label=""Edit Document"">Edit</button>"
class,"<button type=""button"" class=""navbar-register"" data-toggle=""modal"" data-target=""#registerForm"">Register</button>"
class,"<button class=""header__link--profile"">Profile</button>"
class,"<button type=""button"" class=""btn btn-primary"" onclick=""submitForm()"">Submit</button>"
class,"<button class=""sidebar__toggle--collapse"">Collapse</button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#menu-nav"" aria-expanded=""false""><span class=""sr-only"">Toggle Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""sidebar-toggle collapsed"" data-toggle=""collapse"" data-target=""#sidebar-nav"" aria-expanded=""false""><span class=""sr-only"">Toggle Sidebar</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""navbar-toggle collapsed"" data-toggle=""collapse"" data-target=""#navbar-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Navbar</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-btn collapsed"" data-toggle=""collapse"" data-target=""#main-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Main Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-btn collapsed"" data-toggle=""collapse"" data-target=""#footer-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Footer Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle expanded"" data-toggle=""collapse"" data-target=""#header-nav"" aria-expanded=""true""><span class=""sr-only"">Expand Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-control collapsed"" data-toggle=""collapse"" data-target=""#menu-collapse"" aria-expanded=""false""><span class=""sr-only"">Control Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""nav-toggle collapsed"" data-toggle=""collapse"" data-target=""#nav-items"" aria-expanded=""false""><span class=""sr-only"">Toggle Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""dropdown-toggle collapsed"" data-toggle=""collapse"" data-target=""#dropdown-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Dropdown</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#sidebar-items"" aria-expanded=""false""><span class=""sr-only"">Toggle Sidebar Items</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""panel-toggle collapsed"" data-toggle=""collapse"" data-target=""#panel-nav"" aria-expanded=""false""><span class=""sr-only"">Toggle Panel</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#mobile-nav"" aria-expanded=""false""><span class=""sr-only"">Toggle Mobile Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-btn expanded"" data-toggle=""collapse"" data-target=""#menu-content"" aria-expanded=""true""><span class=""sr-only"">Expand Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""nav-btn collapsed"" data-toggle=""collapse"" data-target=""#nav-collapse"" aria-expanded=""false""><span class=""sr-only"">Collapse Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""header-toggle collapsed"" data-toggle=""collapse"" data-target=""#header-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Header Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#top-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Top Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-btn collapsed"" data-toggle=""collapse"" data-target=""#nav-bar"" aria-expanded=""false""><span class=""sr-only"">Toggle Nav Bar</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#nav-main"" aria-expanded=""false""><span class=""sr-only"">Toggle Main Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#action-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Actions Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#profile-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Profile Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""collapse-toggle collapsed"" data-toggle=""collapse"" data-target=""#user-nav"" aria-expanded=""false""><span class=""sr-only"">Toggle User Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#menu-bar"" aria-expanded=""false""><span class=""sr-only"">Toggle Menu Bar</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-control collapsed"" data-toggle=""collapse"" data-target=""#settings-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Settings Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#content-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Content Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-btn collapsed"" data-toggle=""collapse"" data-target=""#nav-section"" aria-expanded=""false""><span class=""sr-only"">Toggle Section Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#menu-list"" aria-expanded=""false""><span class=""sr-only"">Toggle Menu List</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-control collapsed"" data-toggle=""collapse"" data-target=""#links-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Links Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#responsive-nav"" aria-expanded=""false""><span class=""sr-only"">Toggle Responsive Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""panel-toggle collapsed"" data-toggle=""collapse"" data-target=""#action-bar"" aria-expanded=""false""><span class=""sr-only"">Toggle Action Bar</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-btn collapsed"" data-toggle=""collapse"" data-target=""#options-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Options</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#search-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Search Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#mobile-nav-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Mobile Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-control collapsed"" data-toggle=""collapse"" data-target=""#page-nav"" aria-expanded=""false""><span class=""sr-only"">Toggle Page Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#dashboard-menu"" aria-expanded=""false""><span class=""sr-only"">Toggle Dashboard</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#nav-footer"" aria-expanded=""false""><span class=""sr-only"">Toggle Footer Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""sidebar-toggle collapsed"" data-toggle=""collapse"" data-target=""#nav-sidebar"" aria-expanded=""false""><span class=""sr-only"">Toggle Sidebar Navigation</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""toggle-btn collapsed"" data-toggle=""collapse"" data-target=""#action-menu-bar"" aria-expanded=""false""><span class=""sr-only"">Toggle Action Menu</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
class,"<button type=""button"" class=""menu-toggle collapsed"" data-toggle=""collapse"" data-target=""#action-items"" aria-expanded=""false""><span class=""sr-only"">Toggle Actions</span><span class=""icon-bar""></span><span class=""icon-bar""></span><span class=""icon-bar""></span></button>"
